Using GATK jar /home/maram/miniconda3/envs/variant-calling/share/gatk4-4.6.2.0-0/gatk-package-4.6.2.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /home/maram/miniconda3/envs/variant-calling/share/gatk4-4.6.2.0-0/gatk-package-4.6.2.0-local.jar HaplotypeCaller -R reference/chr21.fa -I results/ERR16657781_chr21_RG.bam -O results/ERR16657781_raw_variants.vcf.gz
11:19:23.544 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/maram/miniconda3/envs/variant-calling/share/gatk4-4.6.2.0-0/gatk-package-4.6.2.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:19:23.989 INFO  HaplotypeCaller - ------------------------------------------------------------
11:19:23.996 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.6.2.0
11:19:23.996 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
11:19:23.996 INFO  HaplotypeCaller - Executing as maram@maram on Linux v6.18.33.1-microsoft-standard-WSL2 amd64
11:19:23.997 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v17.0.18-internal+0-adhoc.conda.src
11:19:23.997 INFO  HaplotypeCaller - Start Date/Time: June 21, 2026 at 11:19:23 AM CET
11:19:23.997 INFO  HaplotypeCaller - ------------------------------------------------------------
11:19:23.998 INFO  HaplotypeCaller - ------------------------------------------------------------
11:19:23.999 INFO  HaplotypeCaller - HTSJDK Version: 4.2.0
11:19:24.000 INFO  HaplotypeCaller - Picard Version: 3.4.0
11:19:24.000 INFO  HaplotypeCaller - Built for Spark Version: 3.5.0
11:19:24.004 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:19:24.004 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:19:24.005 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:19:24.005 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:19:24.005 INFO  HaplotypeCaller - Deflater: IntelDeflater
11:19:24.006 INFO  HaplotypeCaller - Inflater: IntelInflater
11:19:24.006 INFO  HaplotypeCaller - GCS max retries/reopens: 20
11:19:24.006 INFO  HaplotypeCaller - Requester pays: disabled
11:19:24.007 INFO  HaplotypeCaller - Initializing engine
11:19:24.348 INFO  HaplotypeCaller - Done initializing engine
11:19:24.363 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/home/maram/miniconda3/envs/variant-calling/share/gatk4-4.6.2.0-0/gatk-package-4.6.2.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
11:19:24.381 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/home/maram/miniconda3/envs/variant-calling/share/gatk4-4.6.2.0-0/gatk-package-4.6.2.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
11:19:24.384 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
11:19:24.389 INFO  HaplotypeCallerEngine - Disabling physical phasing, which is supported only for reference-model confidence output
11:19:24.410 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/home/maram/miniconda3/envs/variant-calling/share/gatk4-4.6.2.0-0/gatk-package-4.6.2.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
11:19:24.440 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
11:19:24.440 INFO  IntelPairHmm - Available threads: 4
11:19:24.441 INFO  IntelPairHmm - Requested threads: 4
11:19:24.441 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
11:19:24.491 INFO  ProgressMeter - Starting traversal
11:19:24.493 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
11:19:28.041 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr21:5031184 and possibly subsequent; at least 10 samples must have called genotypes
11:19:34.931 INFO  ProgressMeter -        chr21:5217199              0.2                 17450         100306.6
11:19:46.440 INFO  ProgressMeter -        chr21:5222791              0.4                 17480          47790.0
11:19:58.169 INFO  ProgressMeter -        chr21:5227972              0.6                 17510          31197.3
11:20:12.399 INFO  ProgressMeter -        chr21:5235572              0.8                 17550          21980.5
11:20:23.642 INFO  ProgressMeter -        chr21:5241095              1.0                 17580          17832.9
11:20:35.830 INFO  ProgressMeter -        chr21:5247649              1.2                 17620          14819.8
11:20:47.373 INFO  ProgressMeter -        chr21:5260457              1.4                 17700          12813.7
11:20:58.210 INFO  ProgressMeter -        chr21:5297104              1.6                 17910          11466.4
11:21:08.576 INFO  ProgressMeter -        chr21:5343280              1.7                 18180          10480.1
11:21:19.362 INFO  ProgressMeter -        chr21:5362071              1.9                 18290           9553.5
11:21:29.493 INFO  ProgressMeter -        chr21:6361635              2.1                 21760          10444.8
11:21:43.215 INFO  ProgressMeter -        chr21:6511110              2.3                 22370           9675.5
11:22:02.582 INFO  ProgressMeter -        chr21:6513036              2.6                 22380           8493.9
11:22:12.609 INFO  ProgressMeter -        chr21:6861738              2.8                 23700           8458.4
11:22:22.741 INFO  ProgressMeter -        chr21:7225343              3.0                 25060           8435.4
11:22:32.795 INFO  ProgressMeter -        chr21:7287009              3.1                 25440           8106.1
11:22:43.439 INFO  ProgressMeter -        chr21:7325506              3.3                 25670           7741.8
11:22:54.416 INFO  ProgressMeter -        chr21:7922941              3.5                 27710           7920.0
11:23:23.791 INFO  ProgressMeter -        chr21:7926993              4.0                 27730           6952.8
11:23:34.971 INFO  ProgressMeter -        chr21:7938231              4.2                 27790           6656.9
11:23:44.995 INFO  ProgressMeter -        chr21:7946898              4.3                 27840           6412.2
11:23:55.715 INFO  ProgressMeter -        chr21:7961089              4.5                 27920           6176.5
11:24:11.132 INFO  ProgressMeter -        chr21:8220392              4.8                 28980           6066.2
11:24:24.842 INFO  ProgressMeter -        chr21:8235320              5.0                 29060           5805.2
11:24:37.363 INFO  ProgressMeter -        chr21:8454603              5.2                 29900           5734.0
11:24:47.557 INFO  ProgressMeter -        chr21:8529347              5.4                 30200           5608.8
11:24:59.790 INFO  ProgressMeter -        chr21:8536207              5.6                 30240           5411.3
11:25:10.190 INFO  ProgressMeter -        chr21:8547498              5.8                 30300           5258.9
11:25:33.233 INFO  ProgressMeter -        chr21:8554341              6.1                 30340           4936.8
11:25:46.362 INFO  ProgressMeter -        chr21:8560530              6.4                 30370           4771.8
11:25:59.829 INFO  ProgressMeter -        chr21:8564683              6.6                 30390           4612.3
11:26:11.786 INFO  ProgressMeter -        chr21:8566569              6.8                 30400           4478.3
11:26:24.732 INFO  ProgressMeter -        chr21:8570384              7.0                 30420           4343.2
11:26:35.090 INFO  ProgressMeter -        chr21:8573963              7.2                 30440           4241.6
11:26:46.366 INFO  ProgressMeter -        chr21:8577495              7.4                 30460           4136.0
11:26:58.300 INFO  ProgressMeter -        chr21:8580840              7.6                 30480           4029.9
11:27:10.003 INFO  ProgressMeter -        chr21:8584826              7.8                 30500           3931.2
11:27:21.142 INFO  ProgressMeter -        chr21:8592235              7.9                 30540           3844.3
11:27:32.125 INFO  ProgressMeter -        chr21:8604613              8.1                 30620           3767.6
11:27:43.929 INFO  ProgressMeter -        chr21:8610743              8.3                 30660           3683.4
11:27:54.761 INFO  ProgressMeter -        chr21:8618871              8.5                 30720           3612.2
11:28:09.696 INFO  ProgressMeter -        chr21:8641452              8.8                 30890           3528.9
11:28:20.481 INFO  ProgressMeter -        chr21:8658267              8.9                 31010           3471.3
11:28:36.488 INFO  ProgressMeter -        chr21:8664124              9.2                 31040           3373.9
11:28:50.410 INFO  ProgressMeter -        chr21:8671615              9.4                 31080           3295.2
11:29:01.275 INFO  ProgressMeter -        chr21:8677687              9.6                 31110           3236.2
